Price,Address,Rent Estimate Per Month,Beds,Baths,SqFt,Home Type
"$244,545","Berkley St, Providence, RI 02908",*Rental Value Coming Soon,6 bed,3 bath,"2,907 sqft.",Multi-Family
"$185,158","Burleigh St, Providence, RI 02904",*Rental Value Coming Soon,2 bed,1.5 bath,"1,036 sqft.",Condo
,"Stella St # 1, Providence, RI 02909",*Rental Value Coming Soon,4 bed,2 bath,"1,784 sqft.",Multi-Family
,"Dartmouth Ave # 1, Providence, RI 02907",*Rental Value Coming Soon,5 bed,3 bath,"2,770 sqft.",Multi-Family
"$260,065","Gallatin St, Providence, RI 02907",*Rental Value Coming Soon,5 bed,3 bath,"3,329 sqft.",Multi-Family
"$318,300","Curtis St, Providence, RI 02909",$1570/m Estimated Rental Value,4 bed,3 bath,"2,304 sqft.",Multi-Family
"$464,919","Community Dr, Cranston, RI 02905",$1800/m Estimated Rental Value,,,,
,"Messer St, Providence, RI 02909",*Rental Value Coming Soon,,,,
,"S Water St Apt 317, Providence, RI 02903",*Rental Value Coming Soon,,,,
,"Mount Pleasant Ave Apt 1, Providence, RI 02908",*Rental Value Coming Soon,,,,
,"Hartford Ave # 303, Providence, RI 02909",*Rental Value Coming Soon,,,,
"$22,978,815","Valley St, Providence, RI 02909",$2120/m Estimated Rental Value,,,,Single-Family
,"Douglas Ave Apt E66, North Providence, RI 02904",*Rental Value Coming Soon,,,,
"$165,465","Metropolitan Rd, Providence, RI 02908",*Rental Value Coming Soon,2 bed,1 bath,816 sqft.,Single-Family
"$187,935","Douglas Ave, Providence, RI 02908",*Rental Value Coming Soon,,,,
"$369,350","Talbot St, North Providence, RI 02904",$1630/m Estimated Rental Value,3 bed,2.5 bath,"1,144 sqft.",Single-Family
"$244,885","Herschel St, Providence, RI 02909",*Rental Value Coming Soon,3 bed,1 bath,"2,058 sqft.",Single-Family
"$351,000","Albert Ave, Cranston, RI 02905",$1840/m Estimated Rental Value,6 bed,3 bath,"3,487 sqft.",Multi-Family
,"Valley Green Court, North Providence, RI 02904",*Rental Value Coming Soon,2 bed,3 bath,"1,440 sqft.",Condo
,"Charles St Apt 29, North Providence, RI 02904",*Rental Value Coming Soon,,,,
,"Grape St # 2, Providence, RI 02908",*Rental Value Coming Soon,,,,
,"Westwood Manor Dr Apt 1r, Providence, RI 02909",*Rental Value Coming Soon,,,,
"$422,960","Primrose St, Providence, RI 02909",*Rental Value Coming Soon,6 bed,3 bath,"3,644 sqft.",Multi-Family
"$280,984","Adams St, North Providence, RI 02904",$1610/m Estimated Rental Value,3 bed,1 bath,928 sqft.,Single-Family
"$290,360","Kentland Ave, North Providence, RI 02908",$1660/m Estimated Rental Value,,,,
,"Alton St # 1, Providence, RI 02908",*Rental Value Coming Soon,6 bed,3 bath,"2,814 sqft.",Multi-Family
,"Broad St Apt 104, Cranston, RI 02905",*Rental Value Coming Soon,,,,
,"Dakota St, Providence, RI 02904",*Rental Value Coming Soon,,,,
"$271,830","Fairoaks Ave, Providence, RI 02908",*Rental Value Coming Soon,4 bed,2 bath,"1,986 sqft.",Single-Family
"$189,803","Whittier Ave, Providence, RI 02909",*Rental Value Coming Soon,3 bed,1 bath,"1,120 sqft.",Single-Family
"$126,905","Ada St, Providence, RI 02909",*Rental Value Coming Soon,1 bed,1 bath,609 sqft.,Single-Family
"$341,791","Florence St, North Providence, RI 02904",$1630/m Estimated Rental Value,4 bed,1 bath,"1,254 sqft.",Single-Family
,"Puritan St # 8, North Providence, RI 02904",*Rental Value Coming Soon,,,,
,"Broad St Apt 1019, Providence, RI 02903",*Rental Value Coming Soon,,,,
,"Abbott St Apt 12, Providence, RI 02906",*Rental Value Coming Soon,,,,
"$426,607","Brown St, North Providence, RI 02904",$1690/m Estimated Rental Value,4 bed,3 bath,"2,714 sqft.",Single-Family
"$227,460","Canton St, Providence, RI 02908",*Rental Value Coming Soon,3 bed,1.5 bath,"1,465 sqft.",Single-Family
"$450,468","Rosner Ave, North Providence, RI 02904",$1630/m Estimated Rental Value,3 bed,1 bath,"1,236 sqft.",Single-Family
"$261,000","Douglas Ave, Providence, RI 02908",$1570/m Estimated Rental Value,6 bed,3 bath,"2,745 sqft.",Multi-Family
"$182,835","Corinth St, Providence, RI 02907",*Rental Value Coming Soon,4 bed,2.5 bath,"1,517 sqft.",Single-Family
"$168,980","Blackstone St, Providence, RI 02907",*Rental Value Coming Soon,5 bed,1 bath,"1,334 sqft.",Single-Family
,"Daniel Ave # 2, Providence, RI 02909",*Rental Value Coming Soon,4 bed,2 bath,"2,592 sqft.",Multi-Family
"$390,925","Ferncrest Ave, Cranston, RI 02905",$1700/m Estimated Rental Value,6 bed,2.5 bath,"1,552 sqft.",Single-Family
,"Dodge St, North Providence, RI 02904",*Rental Value Coming Soon,3 bed,1 bath,"1,275 sqft.",Single-Family
,"Newcomb St, Providence, RI 02908",*Rental Value Coming Soon,4 bed,3 bath,"1,976 sqft.",Multi-Family
"$149,175","Camden Ave, Providence, RI 02908",*Rental Value Coming Soon,3 bed,1.5 bath,"1,040 sqft.",Single-Family
,"Raymond St # 1, Providence, RI 02908",*Rental Value Coming Soon,8 bed,4 bath,"4,043 sqft.",Multi-Family
"$261,348","Isabella Ave, Providence, RI 02908",*Rental Value Coming Soon,3 bed,1 bath,"1,156 sqft.",Single-Family
"$391,440","Jane St, North Providence, RI 02904",$1640/m Estimated Rental Value,3 bed,1.5 bath,"1,681 sqft.",Single-Family
"$448,800","Ferncrest Ave, Cranston, RI 02905",$1790/m Estimated Rental Value,4 bed,1.5 bath,"2,048 sqft.",Single-Family
"$220,235","Miner St, Providence, RI 02905",*Rental Value Coming Soon,8 bed,3 bath,"2,704 sqft.",Multi-Family
,"Brady Ave, Cranston, RI 02905",*Rental Value Coming Soon,,,,
"$380,416","Bonaparte St, North Providence, RI 02904",$1630/m Estimated Rental Value,4 bed,2 bath,"1,152 sqft.",Single-Family
"$208,760","Loveday St, Providence, RI 02908",*Rental Value Coming Soon,6 bed,2 bath,"1,827 sqft.",Multi-Family
"$242,335","Daboll St, Providence, RI 02907",*Rental Value Coming Soon,,,,
"$223,975","Tyndall Ave, Providence, RI 02908",*Rental Value Coming Soon,4 bed,1 bath,"1,271 sqft.",Single-Family
,"Sumter St # 2nd, Providence, RI 02907",*Rental Value Coming Soon,,,,
,"Wood St, Providence, RI 02909",*Rental Value Coming Soon,,,,
"$266,310","Charles St, Providence, RI 02904",$1181/m Estimated Rental Value,2 bed,1 bath,"5,724 sqft.",Single-Family
,"Eddy St, Providence, RI 02905",*Rental Value Coming Soon,,,,
"$178,755","Hazael St, Providence, RI 02908",*Rental Value Coming Soon,4 bed,2 bath,"2,288 sqft.",Multi-Family
"$247,095","River Ave, Providence, RI 02908",*Rental Value Coming Soon,8 bed,3 bath,"2,859 sqft.",Multi-Family
,"New York Ave # 1, Providence, RI 02905",*Rental Value Coming Soon,,,,
"$321,746","Westwood Ave, Cranston, RI 02905",$1610/m Estimated Rental Value,3 bed,1 bath,"1,751 sqft.",Single-Family
"$482,646","E Lakeview Dr, North Providence, RI 02904",$1650/m Estimated Rental Value,3 bed,2 bath,"1,584 sqft.",Single-Family
"$419,400","Whitney St, Providence, RI 02907",$1770/m Estimated Rental Value,8 bed,2 bath,"2,990 sqft.",Multi-Family
"$463,410","Ward Ave, North Providence, RI 02904",$1378/m Estimated Rental Value,4 bed,3 bath,"1,748 sqft.",Multi-Family
"$216,304","Lucy St, Providence, RI 02909",*Rental Value Coming Soon,4 bed,1.5 bath,"1,109 sqft.",Single-Family
"$259,675","Mongenais St, Providence, RI 02909",*Rental Value Coming Soon,6 bed,3 bath,"2,684 sqft.",Multi-Family
"$332,222","Vicksburg St, Providence, RI 02904",*Rental Value Coming Soon,6 bed,4.5 bath,"2,484 sqft.",Multi-Family
"$202,215","California Ave, Providence, RI 02905",*Rental Value Coming Soon,4 bed,1 bath,"1,560 sqft.",Single-Family
"$260,462","Edgemere Ave, Providence, RI 02909",*Rental Value Coming Soon,4 bed,3 bath,"1,328 sqft.",Single-Family
"$260,462","Edgemere Ave, Providence, RI 02909",*Rental Value Coming Soon,4 bed,2.5 bath,"1,328 sqft.",Single-Family
"$202,215","California Ave, Providence, RI 02905",*Rental Value Coming Soon,4 bed,1 bath,"1,560 sqft.",Single-Family
"$348,755","Cypress St, Providence, RI 02906",*Rental Value Coming Soon,,,0 sqft.,
"$202,215","California Ave, Providence, RI 02905",*Rental Value Coming Soon,4 bed,1 bath,"1,560 sqft.",Single-Family
