Price,Address,Rent Estimate Per Month,Beds,Baths,SqFt,Home Type,Street,City,State Label,Zip Code
381052,"36th St Ne, Washington, DC 20019",1510,3,1,992,Townhome,36th St Ne,Washington,DC,20019
99397,"4th Ave W, Rock Springs, WY 82901",973,2,1,952,SF,4th Ave W,Rock Springs,WY,82901
700582,"Underwood St Nw, Washington, DC 20012",2300,3,2,1471,SF,Underwood St Nw,Washington,DC,20012
616028,"Upshur St Ne, Washington, DC 20018",2550,3,3,1344,SF,Upshur St Ne,Washington,DC,20018
616910,"8th St Ne, Washington, DC 20017",2070,3,2,1188,Townhome,8th St Ne,Washington,DC,20017
307384,"Eads St Ne, Washington, DC 20019",1720,3,1.5,787,SF,Eads St Ne,Washington,DC,20019
99900,"Goldenrod Ave, Gillette, WY 82716",1092,3,2,1298,SF,Goldenrod Ave,Gillette,WY,82716
155800,"Linden Cir, Gillette, WY 82718",760,2,1,1036,MF,Linden Cir,Gillette,WY,82718
636000,"Skyland Pl Se, Washington, DC 20020",2100,4,3,1594,SF,Skyland Pl Se,Washington,DC,20020
365000,"Brooks St Ne, Washington, DC 20019",1301,2,2,1440,MF,Brooks St Ne,Washington,DC,20019
1930500,"52nd St Nw, Washington, DC 20016",6360,4,4,4076,SF,52nd St Nw,Washington,DC,20016
245280,"Wisconsin Ave Nw Apt 614, Washington, DC 20007",1760,1,1,439,CONDO,Wisconsin Ave Nw Apt 614,Washington,DC,20007
569342,"Varnum St Ne, Washington, DC 20017",2500,2,3,1320,SF,Varnum St Ne,Washington,DC,20017
1200677,"Sycamore St Nw, Washington, DC 20012",3800,3,4,2263,SF,Sycamore St Nw,Washington,DC,20012
199750,"Logan St, Green River, WY 82935",1010,1,2,1703,SF,Logan St,Green River,WY,82935
412335,"Barnaby Ter Se, Washington, DC 20032",1400,3,1.5,1134,SF,Barnaby Ter Se,Washington,DC,20032
305684,"Fort Dupont St Se, Washington, DC 20020",1550,2,1,832,SF,Fort Dupont St Se,Washington,DC,20020
605795,"N 30th St, Laramie, WY 82072",1850,7,5,7526,SF,N 30th St,Laramie,WY,82072
109470,"Eastern Ave Ne Apt 10, Washington, DC 20019",1271,1,1,555,CONDO,Eastern Ave Ne Apt 10,Washington,DC,20019
613994,"Kennedy St Ne, Washington, DC 20011",2290,3,1.5,1088,SF,Kennedy St Ne,Washington,DC,20011
87358,"Grandview Cir, Gillette, WY 82716",1201,4,2,1292,SF,Grandview Cir,Gillette,WY,82716
223125,"S 5th St, Laramie, WY 82070",1090,2,1,1065,SF,S 5th St,Laramie,WY,82070
470259,"46th St Se, Washington, DC 20019",1880,3,2,1232,SF,46th St Se,Washington,DC,20019
639159,"17th Pl Ne, Washington, DC 20002",1760,2,2,1398,Townhome,17th Pl Ne,Washington,DC,20002
803404,"7th St Ne, Washington, DC 20002",2350,3,1,1200,Townhome,7th St Ne,Washington,DC,20002
818848,"D St Ne, Washington, DC 20002",2660,3,1,1054,Townhome,D St Ne,Washington,DC,20002
503001,"21st St Ne, Washington, DC 20002",2430,5,4,2720,MF,21st St Ne,Washington,DC,20002
77860,"K St, Rock Springs, WY 82901",860,2,1,2744,MF,K St,Rock Springs,WY,82901
138040,"Dana Ave, Sheridan, WY 82801",900,3,2,864,CONDO,Dana Ave,Sheridan,WY,82801
1264086,"16th St Nw, Washington, DC 20011",3740,4,3.5,3078,SF,16th St Nw,Washington,DC,20011
693020,"D St Ne, Washington, DC 20002",1750,4,3,1156,Townhome,D St Ne,Washington,DC,20002
115345,"Booker St, Rock Springs, WY 82901",1520,4,1,1478,SF,Booker St,Rock Springs,WY,82901
371000,"28th St Se, Washington, DC 20020",1780,5,2,810,MF,28th St Se,Washington,DC,20020
408171,"P St Se, Washington, DC 20020",2120,3,3,1250,SF,P St Se,Washington,DC,20020
394293,"41st St Se, Washington, DC 20020",2060,3,1.5,1160,SF,41st St Se,Washington,DC,20020
751275,"Newton Pl Nw, Washington, DC 20010",2500,2,1,1320,SF,Newton Pl Nw,Washington,DC,20010
239700,"Victor Dr, Rock Springs, WY 82901",1720,4,2,2096,MH,Victor Dr,Rock Springs,WY,82901
655220,"14th St Ne, Washington, DC 20017",2640,3,2,1152,SF,14th St Ne,Washington,DC,20017
1252217,"28th St Nw, Washington, DC 20015",4700,5,5,2433,SF,28th St Nw,Washington,DC,20015
948000,"R St Ne, Washington, DC 20002",1980,4,2,1836,MF,R St Ne,Washington,DC,20002
345988,"Fort Baker Dr Se, Washington, DC 20020",2090,3,2,1303,SF,Fort Baker Dr Se,Washington,DC,20020
572445,"3rd Pl Nw, Washington, DC 20011",2580,4,2,1600,SF,3rd Pl Nw,Washington,DC,20011
486212,"Anacostia Rd Se, Washington, DC 20019",1850,4,2,1008,SF,Anacostia Rd Se,Washington,DC,20019
866745,"Bryant St Nw, Washington, DC 20001",2740,4,1.5,1897,SF,Bryant St Nw,Washington,DC,20001
